Intercept
0.828448820693693
age_groups31-45 years old
-0.711020896666472
age_groups46-65 years old
-0.831447505464621
age_groupsAbove 65 years old
-0.800454483262748
educ_levelDoctorate Degree
-0.51212310041336
educ_levelGrade School
-0.290312710003071
educ_levelMaster's or above bachelor's degree
-0.185039979282584
